Date,Ticker,Open,High,Low,Close,Volume
2020-12-02 00:00:00-05:00,AAPL,118.7806432,120.0948097,117.6806448,119.8125076,89004200
2020-12-03 00:00:00-05:00,AAPL,120.2408051,120.4939047,118.9655852,119.6762085,78967600
2020-12-04 00:00:00-05:00,AAPL,119.3452539,119.5983536,118.2939237,119.0045471,78260400
2020-12-07 00:00:00-05:00,AAPL,119.062948,121.2629523,119.0045432,120.4647217,86712000
2020-12-08 00:00:00-05:00,AAPL,121.0682432,121.6620496,119.8222183,121.0779724,82225500
2020-12-09 00:00:00-05:00,AAPL,121.2240138,122.6063143,117.7877284,118.54702,115089200
2020-12-10 00:00:00-05:00,AAPL,117.3010119,120.5815491,116.9603051,119.9682693,81312200
2020-12-11 00:00:00-05:00,AAPL,119.1797594,119.5010004,117.3496718,119.1602936,86939800
2020-12-14 00:00:00-05:00,AAPL,119.3452505,120.0753398,118.3133935,118.54702,79184500
2020-12-15 00:00:00-05:00,AAPL,121.0390697,124.5045654,120.8346456,124.4850922,157243700
2020-12-16 00:00:00-05:00,AAPL,124.0275486,124.9620544,123.2001083,124.4169235,98208600
2020-12-17 00:00:00-05:00,AAPL,125.4780127,126.1399681,124.640843,125.2833252,94359800
2020-12-18 00:00:00-05:00,AAPL,125.5364289,125.6727116,122.7718202,123.2974854,192541500
2020-12-21 00:00:00-05:00,AAPL,121.7009944,124.9036531,120.1726747,124.8257751,121251600
2020-12-22 00:00:00-05:00,AAPL,128.1160699,130.8417396,126.2080967,128.3789063,168904800
2020-12-23 00:00:00-05:00,AAPL,128.6514851,128.9143065,127.3081159,127.483345,88223700
2020-12-24 00:00:00-05:00,AAPL,127.8337233,129.91691,127.6195627,128.4664612,54930100
2020-12-28 00:00:00-05:00,AAPL,130.4328847,133.6939411,129.9656168,133.061203,124486200
2020-12-29 00:00:00-05:00,AAPL,134.3851066,135.1054519,130.7735917,131.2895203,121047300
2020-12-30 00:00:00-05:00,AAPL,131.9806504,132.3797693,129.8585169,130.1700287,96452100
2020-12-31 00:00:00-05:00,AAPL,130.5204716,131.1629536,128.2231238,129.1673737,99116600
2021-01-04 00:00:00-05:00,AAPL,129.9753461,130.0629532,123.3948069,125.9744568,143301900
2021-01-05 00:00:00-05:00,AAPL,125.4682983,128.242644,125.0205036,127.5320129,97664900
2021-01-06 00:00:00-05:00,AAPL,124.329321,127.5709187,123.0248911,123.2390518,155088000
2021-01-07 00:00:00-05:00,AAPL,124.952346,128.1355394,124.4656199,127.4443817,109578200
2021-01-08 00:00:00-05:00,AAPL,128.9142743,129.1089766,126.7726823,128.5443726,105158200
2021-01-11 00:00:00-05:00,AAPL,125.7602863,126.7142652,125.0886019,125.5558548,100384500
2021-01-12 00:00:00-05:00,AAPL,125.0886452,126.247056,123.4921837,125.3806839,91951100
2021-01-13 00:00:00-05:00,AAPL,125.3416881,127.9602767,125.0788668,127.4151459,88636800
2021-01-14 00:00:00-05:00,AAPL,127.3275716,127.5222591,125.3417204,125.4877472,90221800
2021-01-15 00:00:00-05:00,AAPL,125.3611782,126.7629518,123.6284344,123.7647171,111598500
2021-01-19 00:00:00-05:00,AAPL,124.387741,125.2930595,123.5700446,124.4364166,90757300
2021-01-20 00:00:00-05:00,AAPL,125.2443878,128.9727122,125.1373075,128.5249176,104319500
2021-01-21 00:00:00-05:00,AAPL,130.2479436,135.9621048,130.043512,133.2364349,120150900
2021-01-22 00:00:00-05:00,AAPL,132.662066,136.1372975,131.4355216,135.378006,114459400
2021-01-25 00:00:00-05:00,AAPL,139.2718202,141.2381831,132.9151634,139.1257935,157611700
2021-01-26 00:00:00-05:00,AAPL,139.787788,140.4692018,137.6169782,139.3594666,98390600
2021-01-27 00:00:00-05:00,AAPL,139.6221986,140.4691118,136.6823845,138.2885742,140843800
2021-01-28 00:00:00-05:00,AAPL,135.8160892,138.2205179,133.0709462,133.450592,142621100
2021-01-29 00:00:00-05:00,AAPL,132.2240118,133.1098568,126.7532153,128.4567566,177523800
2021-02-01 00:00:00-05:00,AAPL,130.1992421,131.7859741,127.4540996,130.5788879,106239800
2021-02-02 00:00:00-05:00,AAPL,132.1266868,132.691291,131.0364249,131.4063416,83305400
