ticker,trade_date,open_price,close_price,volume
AAPL,2020-12-02,118.7807,119.8125,89004200
AAPL,2020-12-03,120.2408,119.6762,78967600
AAPL,2020-12-04,119.3452,119.0045,78260400
AAPL,2020-12-07,119.063,120.4647,86712000
AAPL,2020-12-08,121.0683,121.078,82225500
AAPL,2020-12-09,121.224,118.547,115089200
AAPL,2020-12-10,117.301,119.9682,81312200
AAPL,2020-12-11,119.1798,119.1603,86939800
AAPL,2020-12-14,119.3452,118.547,79184500
AAPL,2020-12-15,121.0391,124.4851,157243700
AAPL,2020-12-16,124.0276,124.4169,98208600
AAPL,2020-12-17,125.478,125.2833,94359800
AAPL,2020-12-18,125.5364,123.2975,192541500
AAPL,2020-12-21,121.701,124.8258,121251600
AAPL,2020-12-22,128.116,128.3789,168904800
AAPL,2020-12-23,128.6515,127.4834,88223700
AAPL,2020-12-24,127.8338,128.4665,54930100
AAPL,2020-12-28,130.4329,133.0612,124486200
AAPL,2020-12-29,134.3851,131.2895,121047300
AAPL,2020-12-30,131.9807,130.17,96452100
AAPL,2020-12-31,130.5205,129.1674,99116600
AAPL,2021-01-04,129.9754,125.9745,143301900
AAPL,2021-01-05,125.4682,127.532,97664900
AAPL,2021-01-06,124.3293,123.2391,155088000
AAPL,2021-01-07,124.9523,127.4444,109578200
AAPL,2021-01-08,128.9143,128.5444,105158200
AAPL,2021-01-11,125.7603,125.5559,100384500
AAPL,2021-01-12,125.0886,125.3807,91951100
AAPL,2021-01-13,125.3417,127.4152,88636800
AAPL,2021-01-14,127.3276,125.4878,90221800
AAPL,2021-01-15,125.3612,123.7647,111598500
AAPL,2021-01-19,124.3877,124.4364,90757300
AAPL,2021-01-20,125.2444,128.5249,104319500
AAPL,2021-01-21,130.2479,133.2364,120150900
AAPL,2021-01-22,132.6621,135.378,114459400
AAPL,2021-01-25,139.2718,139.1258,157611700
AAPL,2021-01-26,139.7878,139.3595,98390600
AAPL,2021-01-27,139.6223,138.2887,140843800
AAPL,2021-01-28,135.8161,133.4506,142621100
AAPL,2021-01-29,132.224,128.4568,177523800
AAPL,2021-02-01,130.1993,130.5789,106239800
AAPL,2021-02-02,132.1267,131.4063,83305400
AAPL,2021-02-03,132.1559,130.3842,89880900
AAPL,2021-02-04,132.6816,133.7426,84183100
AAPL,2021-02-05,133.9035,133.3283,75693800
AAPL,2021-02-08,132.6166,133.4745,71297200
AAPL,2021-02-09,133.1918,132.5971,76774200
AAPL,2021-02-10,133.0553,131.9926,73046600
AAPL,2021-02-11,132.4898,131.7392,64280000
AAPL,2021-02-12,130.9788,131.9731,60145100
AAPL,2021-02-16,132.0902,129.8479,80576300
AAPL,2021-02-17,127.9566,127.5569,97918500
AAPL,2021-02-18,125.958,126.4552,96856700
AAPL,2021-02-19,126.9719,126.6111,87668800
AAPL,2021-02-22,124.7978,122.8383,103916400
AAPL,2021-02-23,120.6545,122.7018,158273000
AAPL,2021-02-24,121.8049,122.2046,111039900
AAPL,2021-02-25,121.5514,117.954,148199500
AAPL,2021-02-26,119.5138,118.2172,164560400
AAPL,2021-03-01,120.6447,124.5834,116307900
AAPL,2021-03-02,125.1878,121.9804,102260900
AAPL,2021-03-03,121.6781,118.9971,112966300
AAPL,2021-03-04,118.6949,117.1156,178155000
AAPL,2021-03-05,117.9442,118.3732,153766600
AAPL,2021-03-08,117.8955,113.4402,154376600
AAPL,2021-03-09,116.0432,118.0515,129525800
AAPL,2021-03-10,118.6364,116.9693,111943300
AAPL,2021-03-11,119.4651,118.8997,103026500
AAPL,2021-03-12,117.3788,117.993,88105100
AAPL,2021-03-15,118.3635,120.8787,92403800
